canonicalId,name,description,module,path
"ds-operator-dora","ds-operator-dora","Explorer operator for FLOW's head phase. Use when the user types //explore or starts a new card.","operators","agents/operators/dora/SKILL.md"
"ds-sa-sigil-assist","ds-sa-sigil-assist","Sigil Assist — pick the right archetype (Nemo/Tuna/Salmon/Willy) for this card.","operators.dora","agents/operators/dora/skills/sa-sigil-assist/SKILL.md"
"ds-hs-heuristic-scan","ds-hs-heuristic-scan","Heuristic scan — 4-pass expert read on a card's surface area. Surfaces conventions, risks, and gaps.","operators.dora","agents/operators/dora/skills/hs-heuristic-scan/SKILL.md"
"ds-hmw-how-might-we","ds-hmw-how-might-we","How-Might-We reframing — turn a problem statement into 3–5 generative HMW questions.","operators.dora","agents/operators/dora/skills/hmw-how-might-we/SKILL.md"
"ds-jm-journey-map","ds-jm-journey-map","Journey Map — end-to-end or sliced map of the persona's path across touchpoints.","operators.dora","agents/operators/dora/skills/jm-journey-map/SKILL.md"
"ds-cs-competitor-scan","ds-cs-competitor-scan","Competitor / pattern scan — audit 3–5 parallels; name same/different and why it matters.","operators.dora","agents/operators/dora/skills/cs-competitor-scan/SKILL.md"
"ds-ip-interview-plan","ds-ip-interview-plan","Interview Plan — target cohort, research questions, screener, semi-structured guide. Salmon/Willy standard.","operators.dora","agents/operators/dora/skills/ip-interview-plan/SKILL.md"
"ds-nb-nugget-board","ds-nb-nugget-board","Nugget Board — synthesize research into atomic, tagged nuggets (Tomer Sharon-style). For when interview/observation data piles up.","operators.dora","agents/operators/dora/skills/nb-nugget-board/SKILL.md"
"ds-pm-premortem","ds-pm-premortem","Premortem — imagine this ships and fails; invert to surface risks. Willy-standard; optional Tuna/Salmon.","operators.dora","agents/operators/dora/skills/pm-premortem/SKILL.md"
"ds-sr-stream-recap","ds-sr-stream-recap","Stream Recap — short narrative of what Dora just ran in this card, for the handoff or a teammate picking up cold.","operators.dora","agents/operators/dora/skills/sr-stream-recap/SKILL.md"
"ds-operator-sol","ds-operator-sol","Solidifier operator for FLOW's left-body phase. Use when the user types //solidify or pastes a handoff from Dora.","operators","agents/operators/sol/SKILL.md"
"ds-sk-sketch","ds-sk-sketch","Sketch — one low-fi shape anchored to one HMW. Nemo/Tuna. Default-first; names alternatives rejected.","operators.sol","agents/operators/sol/skills/sk-sketch/SKILL.md"
"ds-br-brief","ds-br-brief","Brief — 1-page brief (Problem/Journey/Shape/AC/Out-of-scope) using solidifier.md §8.1 template. Tuna and Salmon.","operators.sol","agents/operators/sol/skills/br-brief/SKILL.md"
"ds-sb-storyboard","ds-sb-storyboard","Storyboard — 4–6 panel user-journey storyboard with captions and branch points. Tuna (pre-brief) and Willy (inside pitch).","operators.sol","agents/operators/sol/skills/sb-storyboard/SKILL.md"
"ds-pt-pitch","ds-pt-pitch","Pitch/RFC — multi-section pitch (problem, tradeoffs, shape, alternatives, AC, MP, risks, rollout) using §8.2 template. Willy-only.","operators.sol","agents/operators/sol/skills/pt-pitch/SKILL.md"
"ds-ct-concept-test","ds-ct-concept-test","Concept Test — runnable 3–5 user test plan (cohort, prototype, RQs, tasks, pass/fail). Salmon standard; Willy × 2–3 parallel.","operators.sol","agents/operators/sol/skills/ct-concept-test/SKILL.md"
"ds-ac-acceptance-criteria","ds-ac-acceptance-criteria","Acceptance Criteria — 3–12 independently-checkable AC bullets. Categories match archetype. Rewrites ambiguity rather than flagging it.","operators.sol","agents/operators/sol/skills/ac-acceptance-criteria/SKILL.md"
"ds-mp-measurement-plan","ds-mp-measurement-plan","Measurement Plan — primary metric, guardrail, baseline, target, instrumentation, stop-the-line. Salmon/Willy required; refused on Nemo.","operators.sol","agents/operators/sol/skills/mp-measurement-plan/SKILL.md"
"ds-dl-decision-log","ds-dl-decision-log","Decision Log — options, chosen, reasoning, reversibility, revisit conditions per §8.5 template. Willy standard; optional for load-bearing Tuna/Salmon calls.","operators.sol","agents/operators/sol/skills/dl-decision-log/SKILL.md"
"ds-ta-tradeoff-axes","ds-ta-tradeoff-axes","Tradeoff Axes — 2–4 named axes with chosen positions. Willy-standard; runs inside PT drafting.","operators.sol","agents/operators/sol/skills/ta-tradeoff-axes/SKILL.md"
"ds-wf-wireframe-spec","ds-wf-wireframe-spec","Wireframe Spec — structural wireframes + Saffer-style microinteraction annotations. Tuna standard.","operators.sol","agents/operators/sol/skills/wf-wireframe-spec/SKILL.md"
